Panel	SGDP_ID	Population_ID	Region	Country	Contributor	Gender	Latitude	Longitude	Coverage	HetRateAuto													
C	S_Georgian-2	Georgian	WestEurasia	Georgia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.500	41.850	33	0.00073													
C	S_Greek-1	Greek	WestEurasia	Greece	Coriell	M	38.0	23.7	36	0.00073													
C	S_Greek-2	Greek	WestEurasia	Greece	Coriell	M	38.0	23.7	43	0.00073													
C	S_Hungarian-1	Hungarian	WestEurasia	Hungary	Coriell	F	47.5	19.1	38	0.00073													
C	S_Hungarian-2	Hungarian	WestEurasia	Hungary	Coriell	M	47.5	19.1	39	0.00073													
C	S_Icelandic-1	Icelandic	WestEurasia	Iceland	Coriell	F	64.1	-21.9	36	0.00072													
C	S_Icelandic-2	Icelandic	WestEurasia	Iceland	Coriell	F	64.1	-21.9	46	0.00071													
C	S_Iranian-1	Iranian	WestEurasia	Iran	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	35.586	51.460	38	0.00075													
C	S_Iranian-2	Iranian	WestEurasia	Iran	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	35.586	51.460	44	0.00073													
C	S_Iraqi_Jew-1	Iraqi_Jew	WestEurasia	Iraq	Tel-Aviv University	F	33.3	44.4	39	0.00072													
C	S_Iraqi_Jew-2	Iraqi_Jew	WestEurasia	Iraq	Tel-Aviv University	M	33.3	44.4	43	0.00073													
C	S_Jordanian-1	Jordanian	WestEurasia	Jordan	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	32.055	35.914	44	0.00069													
C	S_Jordanian-2	Jordanian	WestEurasia	Jordan	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	32.055	35.914	35	0.0007													
C	S_Jordanian-3	Jordanian	WestEurasia	Jordan	Mait Metspalu / Ene Metspalu / Richard Villems / Jüri Parik	M	32.055	35.914	39	0.00077													
C	S_Lezgin-1	Lezgin	WestEurasia	Russia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.117	48.183	39	0.00073													
C	S_Lezgin-2	Lezgin	WestEurasia	Russia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	42.117	48.183	38	0.00072													
C	S_North_Ossetian-1	North_Ossetian	WestEurasia	Russia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.017	44.650	41	0.00075													
C	S_North_Ossetian-2	North_Ossetian	WestEurasia	Russia	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.017	44.650	44	0.00074													
C	S_Orcadian-1	Orcadian	WestEurasia	OrkneyIslands	Howard Cann	M	59.0	-3.0	38	0.00072													
C	S_Orcadian-2	Orcadian	WestEurasia	OrkneyIslands	Howard Cann	F	59.0	-3.0	37	0.00072													
C	S_Palestinian-1	Palestinian	WestEurasia	Israel(Central)	Howard Cann	M	32.0	35.0	44	0.00075													
C	S_Palestinian-2	Palestinian	WestEurasia	Israel(Central)	Howard Cann	M	32.0	35.0	40	0.00076													
C	S_Palestinian-3	Palestinian	WestEurasia	Israel(Central)	Howard Cann	F	32.0	35.0	37	0.00075													
C	S_Polish-1	Polish	WestEurasia	Poland	Coriell	M	52.2	21.0	45	0.00072													
C	S_Russian-1	Russian	WestEurasia	Russia	Howard Cann	M	61.0	40.0	37	0.0007													
C	S_Russian-2	Russian	WestEurasia	Russia	Howard Cann	F	61.0	40.0	37	0.00073													
C	S_Samaritan-1	Samaritan	WestEurasia	Israel	Mait Metspalu / Doron Behar	M	32.203	35.270	40	0.00065													
B	B_Sardinian-3	Sardinian	WestEurasia	Italy	Howard Cann	M	40	9	38	0.00071													
C	S_Sardinian-1	Sardinian	WestEurasia	Italy(Sardinia)	Howard Cann	M	40.0	9.0	35	0.0007													
C	S_Sardinian-2	Sardinian	WestEurasia	Italy(Sardinia)	Howard Cann	F	40.0	9.0	33	0.00073													
C	S_Spanish-1	Spanish	WestEurasia	Spain	1KG	M	39.9	-4.0	34	0.00073													
C	S_Spanish-2	Spanish	WestEurasia	Spain	1KG	F	39.9	-4.0	40	0.00073													
C	S_Tajik-1	Tajik	WestEurasia	Tajikistan	Mait Metspalu / Oleg Balanovsky /Elena Balanovska	M	37.508	71.568	50	0.00067													
C	S_Tajik-2	Tajik	WestEurasia	Tajikistan	Mait Metspalu / Oleg Balanovsky /Elena Balanovska	M	37.508	71.568	44	0.00073													
C	S_Turkish-1	Turkish	WestEurasia	Turkey	Robert Mahley / Ugur Hodoglugil	M	38.7	35.5	43	0.00074													
C	S_Turkish-2	Turkish	WestEurasia	Turkey	Robert Mahley / Ugur Hodoglugil	F	38.7	35.5	42	0.00072													
C	S_Tuscan-1	Tuscan	WestEurasia	Italy(Tuscany)	Howard Cann	F	43.0	11.0	37	0.00071													
C	S_Tuscan-2	Tuscan	WestEurasia	Italy(Tuscany)	Howard Cann	M	43.0	11.0	37	0.00072													
C	S_Yemenite_Jew-1	Yemenite_Jew	WestEurasia	Yemen	Tel-Aviv University	F	15.4	44.2	48	0.00073													
C	S_Yemenite_Jew-2	Yemenite_Jew	WestEurasia	Yemen	Tel-Aviv University	M	15.4	44.2	53	0.00075													
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
