X3mer	binTot	count	binFrac	frac	relEnrich	minAF	maxAF
ACC->A	883098	10577	0.0119771531585396	0.0119197785359329	1.00481339669472	0.002	0.0031
GAC->T	883098	2952	0.00334277735879823	0.00338569602387826	0.987323532656997	0.002	0.0031
GAT->T	883098	6729	0.00761976586969963	0.00771834685636401	0.987227707111517	0.002	0.0031
ACC->A	431740	5199	0.0120419697039885	0.0119197785359329	1.01025112737517	0.0031	0.0041
GAC->T	431740	1484	0.00343725390281188	0.00338569602387826	1.01522814764527	0.0031	0.0041
GAT->T	431740	3374	0.00781488859035531	0.00771834685636401	1.01250808441081	0.0031	0.0041
ACC->A	269513	3270	0.0121329954399231	0.0119197785359329	1.01788765649861	0.0041	0.0051
GAC->T	269513	918	0.00340614367396007	0.00338569602387826	1.00603942289491	0.0041	0.0051
GAT->T	269513	2091	0.0077584383684646	0.00771834685636401	1.00519431334801	0.0041	0.0051
ACC->A	189131	2311	0.0122190439430871	0.0119197785359329	1.02510662477931	0.0051	0.0061
GAC->T	189131	642	0.00339447261421977	0.00338569602387826	1.00259225585511	0.0051	0.0061
GAT->T	189131	1451	0.00767193109537834	0.00771834685636401	0.993986307968603	0.0051	0.0061
ACC->A	140503	1712	0.0121847932072625	0.0119197785359329	1.02223318751525	0.0061	0.0072
GAC->T	140503	495	0.0035230564471933	0.00338569602387826	1.04057080799525	0.0061	0.0072
GAT->T	140503	1131	0.00804965018540529	0.00771834685636401	1.04292413067289	0.0061	0.0072
ACC->A	107530	1323	0.0123035431972473	0.0119197785359329	1.03219562009122	0.0072	0.0082
GAC->T	107530	410	0.00381288942620664	0.00338569602387826	1.12617594707721	0.0072	0.0082
GAT->T	107530	915	0.00850925323165628	0.00771834685636401	1.10247095524609	0.0072	0.0082
ACC->A	117407	1433	0.0122054051291661	0.0119197785359329	1.02396240772193	0.0082	0.0102
GAC->T	117407	433	0.00368802541586106	0.00338569602387826	1.08929608265201	0.0082	0.0102
GAT->T	117407	948	0.00807447596821314	0.00771834685636401	1.0461405944144	0.0082	0.0102
ACC->A	115418	1331	0.0115319967422759	0.0119197785359329	0.967467365900466	0.0102	0.0143
GAC->T	115418	405	0.00350898473375037	0.00338569602387826	1.03641458329472	0.0102	0.0143
GAT->T	115418	977	0.00846488416018299	0.00771834685636401	1.09672243521985	0.0102	0.0143
ACC->A	96834	1186	0.0122477642150484	0.0119197785359329	1.02751608833392	0.0143	0.0235
GAC->T	96834	338	0.00349050953177603	0.00338569602387826	1.03095774315194	0.0143	0.0235
GAT->T	96834	791	0.0081686184604581	0.00771834685636401	1.05833782965103	0.0143	0.0235
ACC->A	84217	833	0.00989111462056354	0.0119197785359329	0.82980691216252	0.0235	0.998
GAC->T	84217	247	0.00293289953334837	0.00338569602387826	0.866261918572591	0.0235	0.998
GAT->T	84217	509	0.00604391037438997	0.00771834685636401	0.783057627088446	0.0235	0.998
