X3mer	binTot	count	binFrac	frac	relEnrich	minAF	maxAF
ACG->T	883098	38120	0.0431662171129365	0.0443950071414663	0.972321436403552	0.002	0.0031
CCG->T	883098	33822	0.0382992601047675	0.0383540885348323	0.998570467135075	0.002	0.0031
GCG->T	883098	27202	0.0308029233448609	0.0309235772397053	0.996098320258709	0.002	0.0031
TCG->T	883098	25756	0.0291655059800838	0.0287871843030449	1.01314201740109	0.002	0.0031
ACG->T	431740	18015	0.0417265020614259	0.0443950071414663	0.939891774957098	0.0031	0.0041
CCG->T	431740	15860	0.0367350720340946	0.0383540885348323	0.957787642397827	0.0031	0.0041
GCG->T	431740	13010	0.0301338768703386	0.0309235772397053	0.974462839042025	0.0031	0.0041
TCG->T	431740	11998	0.0277898735349979	0.0287871843030449	0.96535573755501	0.0031	0.0041
ACG->T	269513	11050	0.0409998775569268	0.0443950071414663	0.923524517662068	0.0041	0.0051
CCG->T	269513	9792	0.0363321991889074	0.0383540885348323	0.947283603308975	0.0041	0.0051
GCG->T	269513	8014	0.0297351148182091	0.0309235772397053	0.961567757433631	0.0041	0.0051
TCG->T	269513	7387	0.0274086964265175	0.0287871843030449	0.95211452908989	0.0041	0.0051
ACG->T	189131	7697	0.0406966599869931	0.0443950071414663	0.916694525069266	0.0051	0.0061
CCG->T	189131	6924	0.0366095457645759	0.0383540885348323	0.954514816101754	0.0051	0.0061
GCG->T	189131	5542	0.0293024411651184	0.0309235772397053	0.9475760497558	0.0051	0.0061
TCG->T	189131	5257	0.0277955491167498	0.0287871843030449	0.965552894098426	0.0051	0.0061
ACG->T	140503	5704	0.0405969979288698	0.0443950071414663	0.91444963167831	0.0061	0.0072
CCG->T	140503	5080	0.0361558116196807	0.0383540885348323	0.94268467850161	0.0061	0.0072
GCG->T	140503	4073	0.0289887048675117	0.0309235772397053	0.937430512738052	0.0061	0.0072
TCG->T	140503	3891	0.0276933588606649	0.0287871843030449	0.962003041670724	0.0061	0.0072
ACG->T	107530	4314	0.0401190365479401	0.0443950071414663	0.90368352504369	0.0072	0.0082
CCG->T	107530	3795	0.035292476518181	0.0383540885348323	0.920175080842532	0.0072	0.0082
GCG->T	107530	3120	0.0290151585604017	0.0309235772397053	0.938285966577851	0.0072	0.0082
TCG->T	107530	2938	0.0273226076443783	0.0287871843030449	0.949124004513645	0.0072	0.0082
ACG->T	117407	4730	0.0402872060439326	0.0443950071414663	0.907471552275146	0.0082	0.0102
CCG->T	117407	4214	0.0358922381118673	0.0383540885348323	0.935812568698399	0.0082	0.0102
GCG->T	117407	3392	0.0288909519875306	0.0309235772397053	0.93426940109746	0.0082	0.0102
TCG->T	117407	3184	0.0271193370071631	0.0287871843030449	0.94206285413939	0.0082	0.0102
ACG->T	115418	4668	0.0404442981164117	0.0443950071414663	0.911010059927108	0.0102	0.0143
CCG->T	115418	4250	0.0368226793047878	0.0383540885348323	0.960071812718122	0.0102	0.0143
GCG->T	115418	3283	0.028444436742969	0.0309235772397053	0.919830087007103	0.0102	0.0143
TCG->T	115418	3164	0.027413401722435	0.0287871843030449	0.952277980154363	0.0102	0.0143
ACG->T	96834	3809	0.0393353574157837	0.0443950071414663	0.88603110909387	0.0143	0.0235
CCG->T	96834	3535	0.0365057727657641	0.0383540885348323	0.951809159344521	0.0143	0.0235
GCG->T	96834	2851	0.0294421380919925	0.0309235772397053	0.952093538977414	0.0143	0.0235
TCG->T	96834	2599	0.0268397463700766	0.0287871843030449	0.932350524022515	0.0143	0.0235
ACG->T	84217	7490	0.0889369129748151	0.0443950071414663	2.00330890118824	0.0235	0.998
CCG->T	84217	4660	0.055333246256694	0.0383540885348323	1.44269485654552	0.0235	0.998
GCG->T	84217	3939	0.0467720294002399	0.0309235772397053	1.51250384254333	0.0235	0.998
TCG->T	84217	3098	0.0367859220822399	0.0287871843030449	1.27785759437226	0.0235	0.998
